gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,0,29,0,0,23,35,0,0,0
1,0,0,25,0,0,20,28,0,0,0
2,0,6,0,18,0,0,0,17,0,5
3,0,12,0,28,0,0,0,16,0,25
4,12,0,0,9,0,0,0,0,0,0
5,25,7,0,17,13,0,0,11,13,17
6,39,0,10,0,28,12,6,0,31,0
