gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,43,0,0,0,20,2,7,0,2,0
1,0,5,0,16,0,0,0,15,0,5
2,0,0,25,0,0,22,26,0,0,0
3,0,0,0,26,0,0,0,0,0,4
4,0,13,0,11,0,0,0,20,0,16
5,14,7,0,14,7,0,0,9,9,16
6,0,0,32,0,0,28,27,0,0,0
7,12,0,0,4,0,1,9,0,0,0
8,2,0,0,1,6,0,0,0,0,6
9,5,0,7,0,8,2,0,0,33,0
