gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,30,0,18,0,0,28,0,0,0,11
1,13,0,9,0,0,35,0,0,0,16
2,0,10,0,0,17,0,0,6,13,0
3,0,41,0,0,14,0,0,14,12,0
4,0,5,0,3,0,1,7,0,5,0
5,0,27,1,20,4,0,34,12,5,0
6,12,0,7,47,0,8,47,0,0,5
