gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,2,1,0,34,0,9,28,0,0,0
1,0,10,0,0,15,0,0,5,11,0
2,13,0,9,0,0,35,0,0,0,16
3,0,11,0,0,0,0,0,0,19,0
4,0,27,0,0,16,0,1,16,0,0
5,0,25,1,10,4,0,23,11,2,0
6,38,0,18,0,0,17,0,0,0,14
7,0,3,0,3,0,11,7,0,2,0
8,0,6,0,7,0,0,1,0,1,0
9,2,0,7,16,0,0,28,0,0,2
