narrative_best_label,S1,S2,S3,S5,S6,Missing_total
0,10.456521739130435,28.152173913043477,4.315217391304348,5.1521739130434785,3.989130434782609,1.9822654462826086
1,9.740384615384615,24.389423076923077,3.7259615384615383,5.158653846153846,3.451923076923077,5.836791497971154
2,10.505952380952381,28.047619047619047,4.333333333333333,5.380952380952381,3.761904761904762,1.2612781954761905
3,8.48,22.92,3.6,4.6,3.0,5.280000000279999
4,6.25,15.181818181818182,1.6590909090909092,3.4545454545454546,2.090909090909091,15.82894736859091
