gmm_bic_best_label,0,1,2,3,4,5,6
0,9,0,11,0,3,53,37
1,0,0,0,70,30,0,0
2,0,51,0,0,0,0,0
3,14,0,18,0,69,38,0
4,0,75,1,0,0,0,10
5,1,3,1,3,15,15,10
