gmm_aic_best_label,0,1,2,3,4,5,6
0,13,0,1,0,12,47,1
1,0,41,0,0,0,0,0
2,0,0,0,70,3,0,0
3,0,24,0,0,0,0,6
4,0,58,1,0,0,0,1
5,2,0,4,0,1,26,43
6,2,0,2,0,79,4,0
7,0,1,1,3,8,9,4
8,0,5,0,0,0,8,2
9,7,0,22,0,14,12,0
