template_version,cluster_label,outcome,f_statistic,df_between,df_within,p_value,eta_squared
A,narrative_best_label,S1,62.623914708025175,9,527,1.1102230246251565e-16,0.5167865032897917
A,narrative_best_label,S2,127.93539305568781,9,527,1.1102230246251565e-16,0.6860139540733438
A,narrative_best_label,S3,63.304180089254835,9,527,1.1102230246251565e-16,0.5194839768385034
A,narrative_best_label,S5,24.025544954734844,9,527,1.1102230246251565e-16,0.2909327292355596
A,narrative_best_label,S6,30.2305463421607,9,527,1.1102230246251565e-16,0.3404873701628102
