gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,43,0,29,11,0,0,0,30,0,0
1,4,0,16,2,0,13,0,8,23,34
2,0,21,0,0,22,0,8,0,0,0
3,28,0,51,18,0,0,0,42,0,0
4,3,25,4,1,20,0,30,3,0,0
5,36,1,0,0,1,3,1,6,0,0
