gmm_aicc_best_label,0,1,2,3,4,5,6,7,8,9
0,0,35,0,0,32,0,20,0,0,0
1,23,0,59,18,0,9,0,37,22,34
2,42,3,1,0,1,7,1,12,1,0
3,49,9,40,14,10,0,18,40,0,0
