Template,Model,Winner K,Winner Cov,Silhouette (Cosine),Calinski-Harabasz,Davies-Bouldin,ARI (vs Numeric),Mean Eta^2
Template B,MPNet,10,tied,0.4614,119.9562,1.3022,0.1652,0.5104
Template B,MiniLM,7,tied,0.264,98.1703,1.782,0.2628,0.5062
Template A,MPNet,10,tied,0.5207,268.3371,1.0554,0.1256,0.4708
Template A,MiniLM,9,tied,0.609,224.8049,0.9515,0.1377,0.4683
Template C,MiniLM,5,diag,-0.0495,14.2203,4.2596,0.0221,0.0918
Template C,MPNet,2,diag,0.4979,29.2284,2.8503,0.0188,0.0183
