gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,2,0,37,0,0,0,20,7,8,0
1,0,14,0,20,0,7,0,0,0,0
2,25,0,0,0,34,0,0,14,0,0
3,0,26,0,0,0,4,0,0,0,0
4,0,12,0,22,0,26,0,0,0,0
5,0,15,11,12,0,19,7,0,9,3
6,36,0,0,0,39,0,0,12,0,0
7,1,4,12,0,0,0,0,9,0,0
8,0,1,1,3,0,3,6,0,1,0
9,4,0,2,0,5,0,8,0,24,12
