gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,39,0,5,20,0,2,0,0,8,0
1,0,19,0,0,7,0,0,15,0,0
2,0,0,26,0,0,22,3,0,0,22
3,0,26,0,0,4,0,0,0,0,0
4,0,14,0,0,26,0,0,20,0,0
5,11,18,0,7,19,0,3,9,9,0
6,0,0,27,0,0,28,8,0,0,24
7,12,4,9,0,0,1,0,0,0,0
8,1,4,0,6,3,0,0,0,1,0
9,2,0,1,8,0,2,14,0,21,7
