gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,29,16,0,21,15,0,5,8,19,0
1,0,0,36,0,0,28,5,0,0,31
2,0,25,0,0,8,0,0,18,0,0
3,18,0,19,17,0,25,18,0,20,22
4,0,34,0,0,34,0,0,18,0,0
5,18,10,13,3,2,2,0,0,0,0
