gmm_aic_best_label,0,1,2,3,4,5,6,7,8
0,8,0,22,0,44,0,0,0,0
1,0,20,0,0,0,14,7,0,0
2,0,0,2,34,1,0,0,13,23
3,0,0,0,0,6,20,4,0,0
4,2,20,0,0,0,12,26,0,0
5,21,0,29,0,26,0,0,0,0
6,39,0,36,0,12,0,0,0,0
7,0,0,1,0,21,1,0,3,0
8,1,3,7,0,2,0,2,0,0
9,29,0,24,0,2,0,0,0,0
