gmm_aicc_best_label,0,1,2,3,4,5,6,7,8
0,35,20,32,0,0,0,0,0,0
1,0,0,0,23,55,59,9,22,34
2,3,1,1,42,12,1,7,1,0
3,9,18,10,49,54,40,0,0,0
