gmm_bic_best_label,0,1,2,3,4,5,6,7,8
0,0,0,0,43,41,29,0,0,0
1,13,23,34,4,10,16,0,0,0
2,0,0,0,0,0,0,21,8,22
3,0,0,0,28,60,51,0,0,0
4,0,0,0,3,4,4,25,30,20
5,3,0,0,36,6,0,1,1,1
