K,silhouette,best_covariance_type
2,0.3266045989621587,diag
3,0.3592416140974178,tied
4,0.3008093016690486,spherical
5,0.24760929789793343,spherical
6,0.22948558495396437,spherical
7,0.1983162561850056,spherical
8,0.1964375857473236,spherical
9,0.21447709184987218,spherical
10,0.22482003582692597,spherical
