K,silhouette,best_threshold
2,0.44090768448895057,0.5
3,0.2767298961856603,0.5
4,0.26117307215872165,0.5
5,0.24767107695855353,0.5
6,0.2239495668766379,0.5
7,0.20362943377278506,0.9
8,0.1971223294216063,0.5
9,0.20079427975262598,0.5
10,0.19945896680966788,0.5
