K,silhouette
2,0.33210970474305257
3,0.2964029733195488
4,0.31042658249025273
5,0.26937854096770675
6,0.25954735675531615
7,0.2605879098661128
8,0.24077923573509474
9,0.24515471861986457
10,0.22323395705149943
