K,silhouette
2,0.3259039316518845
3,0.2934245291929971
4,0.2794688681813752
5,0.2298344584506892
6,0.23209398364213066
7,0.2188498601146883
8,0.1923233772006204
9,0.20000323366749168
10,0.19181123578202097
