gmm_aic_best_label,0,1,2,3,4
0,3,33,19,19,0
1,3,23,15,0,0
2,1,22,17,9,24
3,2,16,12,0,0
4,4,35,20,1,0
5,3,39,27,7,0
6,4,10,44,16,13
7,2,7,14,1,2
8,0,10,3,2,0
9,1,21,19,13,1
