narrative_best_label,S1,S2,S3,S5,S6,Missing_total
0,8.434782608695652,23.52173913043478,3.5217391304347827,4.6521739130434785,3.0869565217391304,2.340961098391304
1,9.217592592592593,23.65740740740741,3.486111111111111,4.8657407407407405,3.2037037037037037,6.159356725208333
2,9.452631578947368,25.152631578947368,3.8157894736842106,5.015789473684211,3.468421052631579,5.338504155142106
3,11.264705882352942,28.676470588235293,4.588235294117647,5.147058823529412,4.014705882352941,0.5108359133235294
4,12.325,30.9,4.8,6.425,4.725,0.08684210525
