gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,8,1,37,0,1,42,3,1,0
1,31,0,20,0,0,14,0,0,0,15
2,0,23,1,3,7,0,12,11,1,0
3,11,0,6,26,0,7,27,0,0,5
4,0,32,0,0,10,0,0,12,12,0
5,0,7,0,4,0,2,7,0,8,0
6,0,8,0,0,8,0,0,3,12,0
7,11,0,6,0,0,20,0,0,0,12
8,0,5,0,0,10,0,0,3,1,0
9,2,0,1,0,0,28,0,0,0,0
