gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,0,14,0,0,44,11,18,0,0
1,0,0,28,0,0,20,16,9,0,0
2,0,23,0,0,6,0,0,0,2,15
3,0,28,0,0,25,0,0,0,16,12
4,7,0,1,3,4,0,0,0,1,5
5,22,14,0,19,13,0,0,16,14,5
6,28,0,5,41,0,14,5,33,0,0
