narrative_best_label,S1,S2,S3,S5,S6,Missing_total
0,9.807017543859649,26.789473684210527,4.140350877192983,4.894736842105263,3.280701754385965,1.8587257617017545
1,6.769230769230769,17.446153846153845,2.353846153846154,3.523076923076923,2.3076923076923075,14.16194332
2,12.520833333333334,30.916666666666668,4.75,6.1875,4.708333333333333,0.180921052625
3,10.031746031746032,26.825396825396826,4.222222222222222,5.142857142857143,3.6666666666666665,1.51629072684127
4,7.479166666666667,19.708333333333332,2.9375,4.395833333333333,2.375,9.805921052854167
5,11.884615384615385,30.474358974358974,4.641025641025641,6.166666666666667,4.4743589743589745,0.445344129525641
6,12.25,31.125,4.875,6.5,4.65625,0.32565789471875
7,10.907894736842104,28.57894736842105,4.25,5.2894736842105265,4.078947368421052,2.1253462604736844
8,7.9393939393939394,20.424242424242426,3.4242424242424243,4.242424242424242,2.727272727272727,4.052631578757576
9,6.45945945945946,16.64864864864865,2.2972972972972974,3.972972972972973,2.108108108108108,13.378378378405404
