gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,29,1,1,34,5,0,0,19,3,1
1,0,0,11,0,0,34,15,20,0,0
2,5,18,0,4,10,0,0,7,13,1
3,16,0,4,21,0,13,5,23,0,0
4,0,22,0,0,20,0,0,0,12,12
5,7,0,2,4,5,0,0,0,2,8
6,0,11,0,0,5,0,0,0,1,14
7,0,0,15,0,0,16,12,6,0,0
8,0,13,0,0,3,0,0,0,2,1
9,0,0,15,0,0,15,0,1,0,0
