gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,0,59,0,0,12,0,1,0,2
1,0,0,0,21,20,0,0,0,0,0
2,0,45,0,0,0,3,0,0,25,0
3,0,0,0,24,0,0,0,6,0,0
4,1,0,0,27,31,0,0,0,0,1
5,15,0,23,0,0,0,1,28,0,9
6,0,0,6,0,0,49,30,0,0,2
7,0,3,10,1,0,8,0,4,0,0
8,0,0,8,5,0,0,0,2,0,0
9,0,0,11,0,0,4,10,0,0,30
