gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,22,2,30,4,1,44,9,1,0
1,26,0,14,0,0,38,0,0,0,22
2,0,13,0,0,18,0,0,6,14,0
3,29,0,19,34,0,15,32,0,0,10
4,0,41,0,0,13,0,1,17,14,0
5,0,7,0,6,0,18,11,0,6,0
