IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
huby293,308,2,2
dyhi182,309,6,6
tatu362,310,5,5
bene344,311,6,6
keho061,312,0,0
vyxy108,313,6,6
zusa663,314,5,5
nehe056,315,2,2
myve834,316,2,2
tyhy481,317,0,0
sati762,318,6,6
biku776,319,0,0
wify666,320,2,2
sony276,321,5,5
tusi463,322,6,6
baco446,323,4,4
coni238,324,1,1
tuvu087,325,4,4
vuci475,326,9,9
seto741,327,4,4
jewe923,328,1,1
jaqy340,329,6,6
pubu440,330,4,4
gyjy255,331,9,9
zyte492,332,5,5
ruco451,333,6,6
loda300,334,9,9
moly152,335,4,4
cuba307,336,6,6
jupo405,337,4,4
xuke183,338,9,9
mado232,339,3,3
zafy372,340,7,7
gyly160,341,8,8
tapi010,342,4,4
gelu604,343,7,7
qiqi041,344,9,9
ratu271,345,6,6
kyqu130,346,1,1
lucu601,347,1,1
kama922,348,6,6
zoma564,349,9,9
puju088,350,6,6
jufy997,351,5,5
wyja070,352,6,6
dasy955,353,9,9
wyki565,354,8,8
garu074,355,1,1
qyxy586,356,5,5
kegi864,357,2,2
gyge774,358,6,6
vyda893,359,4,4
vuvy608,360,5,5
vizo712,361,9,9
givi158,362,0,0
caro445,363,5,5
nene689,364,2,2
ryfy568,365,8,8
johy783,366,3,3
sulo956,367,0,0
gony054,368,5,5
puca767,369,6,6
baky109,370,4,4
mabo887,371,6,6
cona428,372,5,5
lilo882,373,6,6
gycy436,374,6,6
jyri631,375,5,5
safu128,376,2,2
fore104,377,5,5
zabe850,378,5,5
woci389,379,6,6
kygi723,380,5,5
qejy219,381,2,2
jago498,382,5,5
buby593,383,1,1
dapu822,384,5,5
sugu976,385,4,4
wuxa997,386,6,6
tiqy778,387,9,9
xyfe491,388,3,3
ryhy064,389,5,5
kufi222,390,9,9
xaja332,391,6,6
fofa613,392,4,4
viba035,393,3,3
qewy924,394,1,1
pytu496,395,6,6
tosa657,396,1,1
keri121,397,7,7
bofi991,398,0,0
bihi184,399,4,4
piro376,400,6,6
zejy480,401,3,3
zapy404,402,0,0
lusi512,403,6,6
sedo490,404,4,4
davu999,405,6,6
buby236,406,3,3
weru214,407,9,9
tyly265,408,3,3
nise834,409,3,3
voxy002,410,4,4
fypi681,411,6,6
xopa120,412,4,4
wari483,413,6,6
kegy317,414,6,6
geka905,415,6,6
lore323,416,4,4
vane668,417,2,2
zuxy510,418,4,4
masu336,419,9,9
xise560,420,6,6
zomi496,421,3,3
lilu285,422,3,3
heqi003,423,3,3
jise415,424,7,7
vabe169,425,2,2
kofa904,426,3,3
peqo117,427,4,4
gaho243,428,6,6
mude815,429,4,4
raxe285,430,9,9
qami382,431,5,5
bebo956,432,3,3
cofi309,433,5,5
buqe642,434,5,5
vuzo690,435,6,6
posy958,436,5,5
gaga585,437,9,9
vopa930,438,6,6
xutu412,439,2,2
doxi119,440,3,3
feqy379,441,1,1
xypo299,442,3,3
gahu141,443,7,7
kyse146,444,5,5
sedi312,445,1,1
nasi298,446,2,2
naky151,447,0,0
koqa816,448,2,2
sila763,449,1,1
pody147,450,5,5
voza333,451,7,7
tiro932,452,6,6
wujy562,453,5,5
hamu369,454,5,5
nape687,455,3,3
gevi782,456,6,6
qoha890,457,7,7
fili803,458,7,7
puce552,459,4,4
buny935,460,9,9
pimi228,461,0,0
kyjo289,462,6,6
bepo134,463,1,1
kise589,464,5,5
remi231,465,0,0
qyjo579,466,6,6
cyhu257,467,4,4
diha837,468,6,6
ware232,469,2,2
hyge979,470,5,5
biqe951,471,9,9
jide437,472,2,2
zipu412,473,9,9
vate767,474,6,6
mefy253,475,5,5
qafe413,476,4,4
lota555,477,4,4
mecu237,478,6,6
cidy099,479,7,7
xoba600,480,5,5
joce161,481,4,4
kywu572,482,7,7
jefi901,483,1,1
mari840,484,6,6
nypy058,485,9,9
rino885,486,9,9
maju644,487,3,3
qosy291,488,9,9
posy537,489,7,7
xoki390,490,3,3
fagi164,491,4,4
zozy719,492,5,5
bopa107,493,1,1
jyly989,494,8,8
togu404,495,9,9
gosa272,496,0,0
fovo989,497,5,5
sira606,498,1,1
loby351,499,6,6
fike806,500,9,9
fafe171,501,3,3
zyvo780,502,1,1
xune455,503,6,6
vamu972,504,2,2
suzo040,505,0,0
wype120,506,6,6
jicu869,507,8,8
wero373,508,1,1
juqo313,509,1,1
vexo008,510,3,3
punu787,511,3,3
tomo782,512,4,4
cupe992,513,3,3
kyjo535,514,9,9
raja244,515,6,6
pino324,516,6,6
qutu379,517,3,3
nolu547,518,0,0
cape571,519,4,4
coma628,520,6,6
mida684,521,2,2
gaqe214,522,1,1
pufe463,523,2,2
fifa517,524,7,7
wuzy577,525,7,7
sire515,526,2,2
xyhi085,527,7,7
nexy906,528,7,7
pyzi618,529,2,2
muku118,530,9,9
kewi488,531,9,9
xafu780,532,4,4
wowy820,533,3,3
ryzo168,534,6,6
xavy753,535,3,3
deje129,536,3,3
