gmm_aicc_best_label,0,1,2,3,4,5,6,7,8,9
0,51,0,0,0,0,0,0,0,36,0
1,0,52,18,0,28,25,0,39,0,40
2,5,19,0,0,23,0,13,0,0,8
3,22,5,26,16,66,0,28,2,15,0
