gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,31,0,0,0,21,0,14,21,0,0
1,23,0,0,0,22,0,12,16,0,0
2,0,21,0,8,0,0,0,0,0,17
3,0,34,0,31,0,0,0,0,0,16
4,0,9,12,0,0,0,0,0,0,0
5,0,21,21,20,0,14,0,0,16,11
6,14,0,31,0,8,28,1,4,40,0
