gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,4,36,1,0,20,0,0,32,0
1,29,0,0,0,27,0,14,10,0,0
2,0,16,0,22,0,3,0,0,2,15
3,13,0,16,0,8,19,1,4,21,0
4,0,29,0,26,0,0,0,0,0,11
5,0,13,12,1,0,0,0,1,1,0
6,0,19,0,4,0,0,0,0,0,8
7,18,0,0,0,16,0,10,5,0,0
8,0,4,0,5,0,0,0,0,0,10
9,8,0,0,0,0,0,2,21,0,0
