gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,4,36,0,0,1,26,0,20,6
1,29,0,0,0,41,0,0,10,0,0
2,0,12,0,19,0,22,1,0,3,1
3,13,0,15,0,9,0,13,5,19,8
4,0,25,0,15,0,26,0,0,0,0
5,0,13,12,0,0,1,1,1,0,0
6,0,14,0,13,0,4,0,0,0,0
7,18,0,0,0,26,0,0,5,0,0
8,0,4,0,10,0,5,0,0,0,0
9,8,0,0,0,2,0,0,21,0,0
