gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,14,29,10,0,15,21,0,19,5
1,33,0,0,0,50,0,0,17,0,0
2,0,21,0,22,0,8,0,0,0,0
3,33,0,17,0,28,0,17,11,23,10
4,0,28,0,24,0,34,0,0,0,0
5,2,9,17,1,0,2,3,14,0,0
