gmm_aic_best_label,0,1,2,3,4,5
0,36,0,2,3,22,30
1,0,80,0,0,0,0
2,0,0,34,19,2,3
3,15,27,0,0,20,20
4,0,0,29,37,0,0
5,12,1,3,11,0,1
6,0,0,4,27,0,0
7,0,49,0,0,0,0
8,0,0,5,14,0,0
9,0,31,0,0,0,0
