gmm_bic_best_label,0,1,2,3,4,5
0,0,87,0,0,0,0
1,0,73,0,0,0,0
2,0,0,8,38,0,0
3,0,0,35,46,0,0
4,12,0,1,8,0,0
5,21,0,33,19,13,17
6,30,28,0,0,31,37
