gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,13,0,0,0,0,31,21,8,14
1,0,17,0,0,0,0,23,16,5,12
2,0,0,8,21,0,17,0,0,0,0
3,0,0,31,34,0,16,0,0,0,0
4,11,0,0,9,0,0,0,1,0,0
5,23,0,20,20,15,10,1,0,13,1
6,29,7,0,0,38,0,16,6,26,4
