gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,35,0,1,4,30,0,2,1,19,1
1,0,17,0,0,0,0,29,10,10,14
2,2,0,22,15,1,14,1,0,3,0
3,15,7,0,0,21,0,13,5,17,4
4,0,0,26,29,0,11,0,0,0,0
5,11,0,1,13,1,0,0,2,0,0
6,0,0,4,19,0,8,0,0,0,0
7,0,13,0,0,0,0,18,5,3,10
8,0,0,5,4,0,10,0,0,0,0
9,0,0,0,0,0,0,8,21,0,2
