gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,2,0,38,0,0,8,0,6,20,0
1,0,19,0,7,0,0,0,0,0,15
2,25,0,0,0,22,0,12,14,0,0
3,0,26,0,4,0,0,0,0,0,0
4,0,14,0,26,0,0,0,0,0,20
5,0,18,11,19,0,9,0,0,10,9
6,36,0,0,0,24,0,15,12,0,0
7,1,4,12,0,0,0,0,9,0,0
8,0,4,1,3,0,1,0,0,6,0
9,4,0,2,0,5,24,0,0,20,0
