gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,16,29,15,0,19,0,0,26,8
1,33,0,0,0,31,0,19,17,0,0
2,0,25,0,8,0,0,0,0,0,18
3,33,0,18,0,20,23,8,10,27,0
4,0,34,0,34,0,0,0,0,0,18
5,2,10,17,2,0,0,0,14,3,0
