gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,0,35,0,0,23,8,0,0,21
1,0,0,28,0,0,20,3,0,0,22
2,0,21,0,0,8,0,0,17,0,0
3,0,34,0,0,31,0,0,16,0,0
4,12,9,0,0,0,0,0,0,0,0
5,21,21,0,13,20,0,3,11,14,0
6,32,0,5,28,0,12,14,0,25,10
