gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9
0,4,0,32,37,0,0,0,0,1,19
1,0,27,0,0,14,29,0,10,0,0
2,13,0,2,3,0,0,17,0,22,1
3,0,8,23,16,1,11,0,4,0,19
4,28,0,0,0,0,0,12,0,26,0
5,13,0,1,12,0,0,0,1,1,0
6,17,0,0,0,0,0,10,0,4,0
7,0,16,0,0,10,18,0,5,0,0
8,4,0,0,0,0,0,10,0,5,0
9,0,0,0,0,2,8,0,21,0,0
