gmm_bic_best_label,0,1,2,3,4,5,6,7,8,9
0,0,21,0,0,14,31,0,21,0,0
1,0,22,0,0,12,23,0,16,0,0
2,19,0,0,0,0,0,19,0,8,0
3,33,0,0,0,0,0,17,0,31,0
4,9,0,0,12,0,0,0,0,0,0
5,18,0,16,25,0,0,13,0,20,11
6,0,8,42,31,1,12,0,4,0,28
