IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
diha837,468,9,9
ware232,469,7,7
hyge979,470,5,5
biqe951,471,2,2
jide437,472,5,5
zipu412,473,1,1
vate767,474,4,4
mefy253,475,7,7
qafe413,476,6,6
lota555,477,6,6
mecu237,478,2,2
cidy099,479,1,1
xoba600,480,4,4
joce161,481,6,6
kywu572,482,1,1
jefi901,483,1,1
mari840,484,5,5
nypy058,485,6,6
rino885,486,1,1
maju644,487,0,0
qosy291,488,9,9
posy537,489,1,1
xoki390,490,0,0
fagi164,491,8,8
zozy719,492,5,5
bopa107,493,1,1
jyly989,494,9,9
togu404,495,2,2
gosa272,496,8,8
fovo989,497,4,4
sira606,498,2,2
loby351,499,2,2
fike806,500,9,9
fafe171,501,0,0
zyvo780,502,5,5
xune455,503,9,9
vamu972,504,4,4
suzo040,505,3,3
wype120,506,3,3
jicu869,507,8,8
wero373,508,5,5
juqo313,509,1,1
vexo008,510,0,0
punu787,511,0,0
tomo782,512,8,8
cupe992,513,8,8
kyjo535,514,9,9
raja244,515,2,2
pino324,516,3,3
qutu379,517,6,6
nolu547,518,0,0
cape571,519,8,8
coma628,520,3,3
mida684,521,4,4
gaqe214,522,1,1
pufe463,523,4,4
fifa517,524,1,1
wuzy577,525,1,1
sire515,526,4,4
xyhi085,527,1,1
nexy906,528,1,1
pyzi618,529,4,4
muku118,530,9,9
kewi488,531,9,9
xafu780,532,6,6
wowy820,533,0,0
ryzo168,534,2,2
xavy753,535,0,0
deje129,536,0,0
