narrative_best_label,S1,S2,S3,S5,S6,Missing_total
0,7.075949367088608,18.417721518987342,2.6202531645569622,4.189873417721519,2.3544303797468356,12.90539640250633
1,12.294117647058824,31.058823529411764,4.862745098039215,6.0588235294117645,4.588235294117647,0.1702786377647059
2,10.241379310344827,27.29310344827586,4.103448275862069,5.068965517241379,3.5344827586206895,1.9165154265000002
3,9.720588235294118,26.38235294117647,4.235294117647059,5.220588235294118,3.573529411764706,1.481424148617647
4,13.11111111111111,31.333333333333332,4.851851851851852,5.62962962962963,4.851851851851852,0.6432748538148148
5,12.318181818181818,30.651515151515152,4.712121212121212,6.196969696969697,4.545454545454546,0.4736842104848485
6,7.020408163265306,17.142857142857142,2.163265306122449,3.5918367346938775,2.4489795918367347,11.059076262163265
7,11.609756097560975,30.585365853658537,4.7073170731707314,6.365853658536586,4.463414634146342,0.21181001282926828
8,7.254237288135593,19.694915254237287,3.1016949152542375,4.0508474576271185,2.3559322033898304,9.066904549542373
9,9.846153846153847,27.564102564102566,4.051282051282051,4.923076923076923,3.6666666666666665,1.6032388665128205
